County,State,Category Type,Total population,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,5 to 14 years,15 to 17 years,Under 18 years,18 to 24 years,15 to 44 years,16 years and over,18 years and over,21 years and over,60 years and over,62 years and over,65 years and over,75 years and over
Wilson County,Tennessee,Total,"158,555","9,184","8,468","12,544","8,813","9,788","8,537","10,721","11,353","12,280","10,061","10,609","10,831","10,277","7,698","6,958","5,184","2,816","2,433","21,012","6,364","36,560","12,237","61,492","125,499","121,995","118,794","35,366","30,954","25,089","10,433"
Wilson County,Tennessee,Percent,(X),5.80%,5.30%,7.90%,5.60%,6.20%,5.40%,6.80%,7.20%,7.70%,6.30%,6.70%,6.80%,6.50%,4.90%,4.40%,3.30%,1.80%,1.50%,13.30%,4.00%,23.10%,7.70%,38.80%,79.20%,76.90%,74.90%,22.30%,19.50%,15.80%,6.60%
Wilson County,Tennessee,Male,"78,441","4,264","3,983","6,937","4,933","4,811","4,276","5,301","5,124","6,634","5,279","5,220","5,689","4,582","3,649","3,252","2,500","1,188",819,"10,920","3,268","18,452","6,476","31,079","61,977","59,989","58,049","15,990","14,557","11,408","4,507"
Wilson County,Tennessee,Percent Male,(X),5.40%,5.10%,8.80%,6.30%,6.10%,5.50%,6.80%,6.50%,8.50%,6.70%,6.70%,7.30%,5.80%,4.70%,4.10%,3.20%,1.50%,1.00%,13.90%,4.20%,23.50%,8.30%,39.60%,79.00%,76.50%,74.00%,20.40%,18.60%,14.50%,5.70%
Wilson County,Tennessee,Female,"80,114","4,920","4,485","5,607","3,880","4,977","4,261","5,420","6,229","5,646","4,782","5,389","5,142","5,695","4,049","3,706","2,684","1,628","1,614","10,092","3,096","18,108","5,761","30,413","63,522","62,006","60,745","19,376","16,397","13,681","5,926"
Wilson County,Tennessee,Percent Female,(X),6.10%,5.60%,7.00%,4.80%,6.20%,5.30%,6.80%,7.80%,7.00%,6.00%,6.70%,6.40%,7.10%,5.10%,4.60%,3.40%,2.00%,2.00%,12.60%,3.90%,22.60%,7.20%,38.00%,79.30%,77.40%,75.80%,24.20%,20.50%,17.10%,7.40%
Ohio,Ohio,Total,"11,756,058","661,196","691,486","747,870","757,937","766,640","753,302","785,769","727,581","747,847","663,708","738,731","740,167","805,159","701,941","585,145","392,711","254,530","234,338","1,439,356","457,604","2,558,156","1,066,973","4,539,076","9,506,533","9,197,902","8,734,215","2,973,824","2,650,395","2,168,665","881,579"
Ohio,Ohio,Percent,(X),5.60%,5.90%,6.40%,6.40%,6.50%,6.40%,6.70%,6.20%,6.40%,5.60%,6.30%,6.30%,6.80%,6.00%,5.00%,3.30%,2.20%,2.00%,12.20%,3.90%,21.80%,9.10%,38.60%,80.90%,78.20%,74.30%,25.30%,22.50%,18.40%,7.50%
Ohio,Ohio,Male,"5,810,211","341,053","351,429","384,408","385,531","392,745","387,083","395,800","369,596","373,548","333,130","368,832","364,587","395,192","334,224","274,657","171,746","106,372","80,278","735,837","233,341","1,310,231","544,935","2,304,303","4,658,551","4,499,980","4,262,440","1,362,469","1,202,481","967,277","358,396"
Ohio,Ohio,Percent Male,(X),5.90%,6.00%,6.60%,6.60%,6.80%,6.70%,6.80%,6.40%,6.40%,5.70%,6.30%,6.30%,6.80%,5.80%,4.70%,3.00%,1.80%,1.40%,12.70%,4.00%,22.60%,9.40%,39.70%,80.20%,77.40%,73.40%,23.40%,20.70%,16.60%,6.20%
Ohio,Ohio,Female,"5,945,847","320,143","340,057","363,462","372,406","373,895","366,219","389,969","357,985","374,299","330,578","369,899","375,580","409,967","367,717","310,488","220,965","148,158","154,060","703,519","224,263","1,247,925","522,038","2,234,773","4,847,982","4,697,922","4,471,775","1,611,355","1,447,914","1,201,388","523,183"
Ohio,Ohio,Percent Female,(X),5.40%,5.70%,6.10%,6.30%,6.30%,6.20%,6.60%,6.00%,6.30%,5.60%,6.20%,6.30%,6.90%,6.20%,5.20%,3.70%,2.50%,2.60%,11.80%,3.80%,21.00%,8.80%,37.60%,81.50%,79.00%,75.20%,27.10%,24.40%,20.20%,8.80%
Allen County,Ohio,Total,"101,115","6,031","4,951","7,952","7,750","6,657","6,203","6,041","5,177","6,914","5,024","6,129","5,123","7,847","6,579","4,879","4,358","1,863","1,637","12,903","4,561","23,495","9,846","38,742","80,193","77,620","72,230","27,163","24,198","19,316","7,858"
Allen County,Ohio,Percent,(X),6.00%,4.90%,7.90%,7.70%,6.60%,6.10%,6.00%,5.10%,6.80%,5.00%,6.10%,5.10%,7.80%,6.50%,4.80%,4.30%,1.80%,1.60%,12.80%,4.50%,23.20%,9.70%,38.30%,79.30%,76.80%,71.40%,26.90%,23.90%,19.10%,7.80%
Allen County,Ohio,Male,"51,278","3,367","2,699","3,890","4,460","3,694","3,379","3,245","2,386","3,482","2,400","3,093","2,221","4,175","3,164","2,650","1,641",658,674,"6,589","2,686","12,642","5,468","20,646","39,966","38,636","35,507","12,962","11,225","8,787","2,973"
Allen County,Ohio,Percent Male,(X),6.60%,5.30%,7.60%,8.70%,7.20%,6.60%,6.30%,4.70%,6.80%,4.70%,6.00%,4.30%,8.10%,6.20%,5.20%,3.20%,1.30%,1.30%,12.80%,5.20%,24.70%,10.70%,40.30%,77.90%,75.30%,69.20%,25.30%,21.90%,17.10%,5.80%
Allen County,Ohio,Female,"49,837","2,664","2,252","4,062","3,290","2,963","2,824","2,796","2,791","3,432","2,624","3,036","2,902","3,672","3,415","2,229","2,717","1,205",963,"6,314","1,875","10,853","4,378","18,096","40,227","38,984","36,723","14,201","12,973","10,529","4,885"
Allen County,Ohio,Percent Female,(X),5.30%,4.50%,8.20%,6.60%,5.90%,5.70%,5.60%,5.60%,6.90%,5.30%,6.10%,5.80%,7.40%,6.90%,4.50%,5.50%,2.40%,1.90%,12.70%,3.80%,21.80%,8.80%,36.30%,80.70%,78.20%,73.70%,28.50%,26.00%,21.10%,9.80%
Ashtabula County,Ohio,Total,"97,014","4,853","6,214","6,532","5,420","6,044","5,717","6,107","5,042","5,642","5,481","6,423","6,430","7,362","6,582","5,256","3,936","2,035","1,938","12,746","3,400","20,999","8,064","33,972","78,010","76,015","71,853","27,109","23,925","19,747","7,909"
Ashtabula County,Ohio,Percent,(X),5.00%,6.40%,6.70%,5.60%,6.20%,5.90%,6.30%,5.20%,5.80%,5.60%,6.60%,6.60%,7.60%,6.80%,5.40%,4.10%,2.10%,2.00%,13.10%,3.50%,21.60%,8.30%,35.00%,80.40%,78.40%,74.10%,27.90%,24.70%,20.40%,8.20%
Ashtabula County,Ohio,Male,"49,422","2,651","3,107","3,435","2,925","3,044","3,080","3,351","2,462","3,149","2,832","3,509","3,074","3,706","3,198","2,503","1,459","1,083",854,"6,542","1,776","10,969","4,193","18,011","39,336","38,453","36,527","12,803","11,402","9,097","3,396"
Ashtabula County,Ohio,Percent Male,(X),5.40%,6.30%,7.00%,5.90%,6.20%,6.20%,6.80%,5.00%,6.40%,5.70%,7.10%,6.20%,7.50%,6.50%,5.10%,3.00%,2.20%,1.70%,13.20%,3.60%,22.20%,8.50%,36.40%,79.60%,77.80%,73.90%,25.90%,23.10%,18.40%,6.90%
Ashtabula County,Ohio,Female,"47,592","2,202","3,107","3,097","2,495","3,000","2,637","2,756","2,580","2,493","2,649","2,914","3,356","3,656","3,384","2,753","2,477",952,"1,084","6,204","1,624","10,030","3,871","15,961","38,674","37,562","35,326","14,306","12,523","10,650","4,513"
Ashtabula County,Ohio,Percent Female,(X),4.60%,6.50%,6.50%,5.20%,6.30%,5.50%,5.80%,5.40%,5.20%,5.60%,6.10%,7.10%,7.70%,7.10%,5.80%,5.20%,2.00%,2.30%,13.00%,3.40%,21.10%,8.10%,33.50%,81.30%,78.90%,74.20%,30.10%,26.30%,22.40%,9.50%
Belmont County,Ohio,Total,"65,509","3,222","3,873","3,100","4,105","3,158","3,712","3,941","4,386","4,191","3,848","4,176","4,458","4,864","4,394","4,344","2,452","2,025","1,260","6,973","2,268","12,463","4,995","23,493","54,514","53,046","50,741","19,339","17,698","14,475","5,737"
Belmont County,Ohio,Percent,(X),4.90%,5.90%,4.70%,6.30%,4.80%,5.70%,6.00%,6.70%,6.40%,5.90%,6.40%,6.80%,7.40%,6.70%,6.60%,3.70%,3.10%,1.90%,10.60%,3.50%,19.00%,7.60%,35.90%,83.20%,81.00%,77.50%,29.50%,27.00%,22.10%,8.80%
Belmont County,Ohio,Male,"33,150","1,827","1,928","1,492","2,261","1,854","1,981","2,220","2,130","2,060","2,063","2,235","2,207","2,312","2,126","2,207","1,147",872,228,"3,420","1,059","6,306","3,056","12,506","27,733","26,844","25,410","8,892","8,018","6,580","2,247"
Belmont County,Ohio,Percent Male,(X),5.50%,5.80%,4.50%,6.80%,5.60%,6.00%,6.70%,6.40%,6.20%,6.20%,6.70%,6.70%,7.00%,6.40%,6.70%,3.50%,2.60%,0.70%,10.30%,3.20%,19.00%,9.20%,37.70%,83.70%,81.00%,76.70%,26.80%,24.20%,19.80%,6.80%
Belmont County,Ohio,Female,"32,359","1,395","1,945","1,608","1,844","1,304","1,731","1,721","2,256","2,131","1,785","1,941","2,251","2,552","2,268","2,137","1,305","1,153","1,032","3,553","1,209","6,157","1,939","10,987","26,781","26,202","25,331","10,447","9,680","7,895","3,490"
Belmont County,Ohio,Percent Female,(X),4.30%,6.00%,5.00%,5.70%,4.00%,5.30%,5.30%,7.00%,6.60%,5.50%,6.00%,7.00%,7.90%,7.00%,6.60%,4.00%,3.60%,3.20%,11.00%,3.70%,19.00%,6.00%,34.00%,82.80%,81.00%,78.30%,32.30%,29.90%,24.40%,10.80%
Butler County,Ohio,Total,"388,420","22,380","26,749","24,572","27,808","33,343","23,462","24,596","24,411","23,158","22,067","23,358","22,585","26,137","20,986","17,543","10,842","7,477","6,946","51,321","15,978","89,679","45,173","156,778","309,685","298,741","280,119","89,931","78,832","63,794","25,265"
Butler County,Ohio,Percent,(X),5.80%,6.90%,6.30%,7.20%,8.60%,6.00%,6.30%,6.30%,6.00%,5.70%,6.00%,5.80%,6.70%,5.40%,4.50%,2.80%,1.90%,1.80%,13.20%,4.10%,23.10%,11.60%,40.40%,79.70%,76.90%,72.10%,23.20%,20.30%,16.40%,6.50%
Butler County,Ohio,Male,"191,220","11,331","15,048","11,173","13,136","17,214","11,903","12,023","12,147","11,298","11,609","11,761","10,840","12,724","10,212","8,351","5,041","3,069","2,340","26,221","7,776","45,328","22,574","77,721","151,492","145,892","137,290","41,737","36,431","29,013","10,450"
Butler County,Ohio,Percent Male,(X),5.90%,7.90%,5.80%,6.90%,9.00%,6.20%,6.30%,6.40%,5.90%,6.10%,6.20%,5.70%,6.70%,5.30%,4.40%,2.60%,1.60%,1.20%,13.70%,4.10%,23.70%,11.80%,40.60%,79.20%,76.30%,71.80%,21.80%,19.10%,15.20%,5.50%
Butler County,Ohio,Female,"197,200","11,049","11,701","13,399","14,672","16,129","11,559","12,573","12,264","11,860","10,458","11,597","11,745","13,413","10,774","9,192","5,801","4,408","4,606","25,100","8,202","44,351","22,599","79,057","158,193","152,849","142,829","48,194","42,401","34,781","14,815"
Butler County,Ohio,Percent Female,(X),5.60%,5.90%,6.80%,7.40%,8.20%,5.90%,6.40%,6.20%,6.00%,5.30%,5.90%,6.00%,6.80%,5.50%,4.70%,2.90%,2.20%,2.30%,12.70%,4.20%,22.50%,11.50%,40.10%,80.20%,77.50%,72.40%,24.40%,21.50%,17.60%,7.50%
Clark County,Ohio,Total,"134,831","8,216","7,935","8,167","8,886","8,284","8,061","8,264","7,623","7,265","7,548","8,664","9,280","9,011","8,685","7,390","4,457","4,131","2,964","16,102","5,109","29,427","12,061","48,383","108,328","105,404","99,571","36,638","32,190","27,627","11,552"
Clark County,Ohio,Percent,(X),6.10%,5.90%,6.10%,6.60%,6.10%,6.00%,6.10%,5.70%,5.40%,5.60%,6.40%,6.90%,6.70%,6.40%,5.50%,3.30%,3.10%,2.20%,11.90%,3.80%,21.80%,8.90%,35.90%,80.30%,78.20%,73.80%,27.20%,23.90%,20.50%,8.60%
Clark County,Ohio,Male,"66,303","4,680","3,790","4,269","4,276","4,194","3,989","4,556","3,543","3,493","3,750","4,168","4,173","4,899","4,451","3,155","2,057","1,876",984,"8,059","2,545","15,284","5,925","24,051","52,550","51,019","47,871","17,422","14,660","12,523","4,917"
Clark County,Ohio,Percent Male,(X),7.10%,5.70%,6.40%,6.40%,6.30%,6.00%,6.90%,5.30%,5.30%,5.70%,6.30%,6.30%,7.40%,6.70%,4.80%,3.10%,2.80%,1.50%,12.20%,3.80%,23.10%,8.90%,36.30%,79.30%,76.90%,72.20%,26.30%,22.10%,18.90%,7.40%
Clark County,Ohio,Female,"68,528","3,536","4,145","3,898","4,610","4,090","4,072","3,708","4,080","3,772","3,798","4,496","5,107","4,112","4,234","4,235","2,400","2,255","1,980","8,043","2,564","14,143","6,136","24,332","55,778","54,385","51,700","19,216","17,530","15,104","6,635"
Clark County,Ohio,Percent Female,(X),5.20%,6.00%,5.70%,6.70%,6.00%,5.90%,5.40%,6.00%,5.50%,5.50%,6.60%,7.50%,6.00%,6.20%,6.20%,3.50%,3.30%,2.90%,11.70%,3.70%,20.60%,9.00%,35.50%,81.40%,79.40%,75.40%,28.00%,25.60%,22.00%,9.70%
Clermont County,Ohio,Total,"210,805","11,895","13,122","12,863","12,550","12,686","12,453","13,807","13,681","14,310","11,923","13,264","13,531","15,580","13,326","10,300","8,181","4,792","2,541","25,985","8,399","46,279","16,837","79,487","170,044","164,526","156,637","54,720","47,387","39,140","15,514"
Clermont County,Ohio,Percent,(X),5.60%,6.20%,6.10%,6.00%,6.00%,5.90%,6.50%,6.50%,6.80%,5.70%,6.30%,6.40%,7.40%,6.30%,4.90%,3.90%,2.30%,1.20%,12.30%,4.00%,22.00%,8.00%,37.70%,80.70%,78.00%,74.30%,26.00%,22.50%,18.60%,7.40%
Clermont County,Ohio,Male,"104,700","5,850","7,558","5,859","6,607","6,282","6,661","7,114","6,636","7,849","5,883","6,637","6,346","8,052","5,357","5,520","3,439","2,130",920,"13,417","4,469","23,736","8,420","41,149","83,945","80,964","77,176","25,418","21,386","17,366","6,489"
Clermont County,Ohio,Percent Male,(X),5.60%,7.20%,5.60%,6.30%,6.00%,6.40%,6.80%,6.30%,7.50%,5.60%,6.30%,6.10%,7.70%,5.10%,5.30%,3.30%,2.00%,0.90%,12.80%,4.30%,22.70%,8.00%,39.30%,80.20%,77.30%,73.70%,24.30%,20.40%,16.60%,6.20%
Clermont County,Ohio,Female,"106,105","6,045","5,564","7,004","5,943","6,404","5,792","6,693","7,045","6,461","6,040","6,627","7,185","7,528","7,969","4,780","4,742","2,662","1,621","12,568","3,930","22,543","8,417","38,338","86,099","83,562","79,461","29,302","26,001","21,774","9,025"
Clermont County,Ohio,Percent Female,(X),5.70%,5.20%,6.60%,5.60%,6.00%,5.50%,6.30%,6.60%,6.10%,5.70%,6.20%,6.80%,7.10%,7.50%,4.50%,4.50%,2.50%,1.50%,11.80%,3.70%,21.20%,7.90%,36.10%,81.10%,78.80%,74.90%,27.60%,24.50%,20.50%,8.50%
Columbiana County,Ohio,Total,"100,511","5,060","5,890","5,675","5,545","5,411","5,789","5,875","5,845","5,654","5,957","6,928","6,157","8,880","6,305","6,781","3,360","2,588","2,811","11,565","3,774","20,399","7,182","34,119","83,216","80,112","76,827","30,725","27,791","21,845","8,759"
Columbiana County,Ohio,Percent,(X),5.00%,5.90%,5.60%,5.50%,5.40%,5.80%,5.80%,5.80%,5.60%,5.90%,6.90%,6.10%,8.80%,6.30%,6.70%,3.30%,2.60%,2.80%,11.50%,3.80%,20.30%,7.10%,33.90%,82.80%,79.70%,76.40%,30.60%,27.60%,21.70%,8.70%
Columbiana County,Ohio,Male,"50,783","2,495","2,993","2,800","2,785","2,787","3,289","3,088","3,546","2,650","3,132","3,825","3,009","4,504","2,877","3,460","1,490",843,"1,210","5,793","1,862","10,150","3,710","18,145","42,217","40,633","38,730","14,384","12,887","9,880","3,543"
Columbiana County,Ohio,Percent Male,(X),4.90%,5.90%,5.50%,5.50%,5.50%,6.50%,6.10%,7.00%,5.20%,6.20%,7.50%,5.90%,8.90%,5.70%,6.80%,2.90%,1.70%,2.40%,11.40%,3.70%,20.00%,7.30%,35.70%,83.10%,80.00%,76.30%,28.30%,25.40%,19.50%,7.00%
Columbiana County,Ohio,Female,"49,728","2,565","2,897","2,875","2,760","2,624","2,500","2,787","2,299","3,004","2,825","3,103","3,148","4,376","3,428","3,321","1,870","1,745","1,601","5,772","1,912","10,249","3,472","15,974","40,999","39,479","38,097","16,341","14,904","11,965","5,216"
Columbiana County,Ohio,Percent Female,(X),5.20%,5.80%,5.80%,5.60%,5.30%,5.00%,5.60%,4.60%,6.00%,5.70%,6.20%,6.30%,8.80%,6.90%,6.70%,3.80%,3.50%,3.20%,11.60%,3.80%,20.60%,7.00%,32.10%,82.40%,79.40%,76.60%,32.90%,30.00%,24.10%,10.50%
Cuyahoga County,Ohio,Total,"1,236,041","65,847","67,435","72,925","71,284","77,055","87,069","90,110","78,127","74,733","66,338","75,484","80,354","86,994","75,876","65,632","41,879","29,675","29,224","140,360","44,834","251,041","103,505","478,378","1,015,431","985,000","943,448","329,280","295,517","242,286","100,778"
Cuyahoga County,Ohio,Percent,(X),5.30%,5.50%,5.90%,5.80%,6.20%,7.00%,7.30%,6.30%,6.00%,5.40%,6.10%,6.50%,7.00%,6.10%,5.30%,3.40%,2.40%,2.40%,11.40%,3.60%,20.30%,8.40%,38.70%,82.20%,79.70%,76.30%,26.60%,23.90%,19.60%,8.20%
Cuyahoga County,Ohio,Male,"593,726","33,693","35,577","36,242","35,929","38,094","42,935","44,294","39,221","35,446","31,987","36,451","36,555","43,044","35,234","30,173","17,173","11,737","9,941","71,819","22,215","127,727","51,808","235,919","480,852","465,999","445,489","147,302","130,301","104,258","38,851"
Cuyahoga County,Ohio,Percent Male,(X),5.70%,6.00%,6.10%,6.10%,6.40%,7.20%,7.50%,6.60%,6.00%,5.40%,6.10%,6.20%,7.20%,5.90%,5.10%,2.90%,2.00%,1.70%,12.10%,3.70%,21.50%,8.70%,39.70%,81.00%,78.50%,75.00%,24.80%,21.90%,17.60%,6.50%
Cuyahoga County,Ohio,Female,"642,315","32,154","31,858","36,683","35,355","38,961","44,134","45,816","38,906","39,287","34,351","39,033","43,799","43,950","40,642","35,459","24,706","17,938","19,283","68,541","22,619","123,314","51,697","242,459","534,579","519,001","497,959","181,978","165,216","138,028","61,927"
Cuyahoga County,Ohio,Percent Female,(X),5.00%,5.00%,5.70%,5.50%,6.10%,6.90%,7.10%,6.10%,6.10%,5.30%,6.10%,6.80%,6.80%,6.30%,5.50%,3.80%,2.80%,3.00%,10.70%,3.50%,19.20%,8.00%,37.70%,83.20%,80.80%,77.50%,28.30%,25.70%,21.50%,9.60%
Delaware County,Ohio,Total,"226,296","12,490","13,541","18,734","15,950","13,503","9,902","12,411","14,040","20,295","17,006","17,110","14,872","12,174","10,915","9,537","6,983","3,469","3,364","32,275","10,631","55,396","18,822","86,101","177,759","170,900","162,503","46,442","41,346","34,268","13,816"
Delaware County,Ohio,Percent,(X),5.50%,6.00%,8.30%,7.00%,6.00%,4.40%,5.50%,6.20%,9.00%,7.50%,7.60%,6.60%,5.40%,4.80%,4.20%,3.10%,1.50%,1.50%,14.30%,4.70%,24.50%,8.30%,38.00%,78.60%,75.50%,71.80%,20.50%,18.30%,15.10%,6.10%
Delaware County,Ohio,Male,"113,093","6,834","5,879","10,553","7,890","7,495","4,742","6,194","6,271","10,800","8,725","8,454","7,299","6,179","4,478","5,165","2,996","1,928","1,211","16,432","5,085","28,351","10,300","43,392","88,401","84,742","80,823","21,957","19,407","15,778","6,135"
Delaware County,Ohio,Percent Male,(X),6.00%,5.20%,9.30%,7.00%,6.60%,4.20%,5.50%,5.50%,9.50%,7.70%,7.50%,6.50%,5.50%,4.00%,4.60%,2.60%,1.70%,1.10%,14.50%,4.50%,25.10%,9.10%,38.40%,78.20%,74.90%,71.50%,19.40%,17.20%,14.00%,5.40%
Delaware County,Ohio,Female,"113,203","5,656","7,662","8,181","8,060","6,008","5,160","6,217","7,769","9,495","8,281","8,656","7,573","5,995","6,437","4,372","3,987","1,541","2,153","15,843","5,546","27,045","8,522","42,709","89,358","86,158","81,680","24,485","21,939","18,490","7,681"
Delaware County,Ohio,Percent Female,(X),5.00%,6.80%,7.20%,7.10%,5.30%,4.60%,5.50%,6.90%,8.40%,7.30%,7.60%,6.70%,5.30%,5.70%,3.90%,3.50%,1.40%,1.90%,14.00%,4.90%,23.90%,7.50%,37.70%,78.90%,76.10%,72.20%,21.60%,19.40%,16.30%,6.80%
Erie County,Ohio,Total,"74,501","4,314","4,444","3,016","4,093","4,982","3,934","4,029","3,479","4,404","3,656","5,456","4,052","6,927","5,396","4,493","3,312","2,441","2,073","7,460","2,161","13,935","6,914","24,921","61,749","60,566","57,966","24,642","21,753","17,715","7,826"
Erie County,Ohio,Percent,(X),5.80%,6.00%,4.00%,5.50%,6.70%,5.30%,5.40%,4.70%,5.90%,4.90%,7.30%,5.40%,9.30%,7.20%,6.00%,4.40%,3.30%,2.80%,10.00%,2.90%,18.70%,9.30%,33.50%,82.90%,81.30%,77.80%,33.10%,29.20%,23.80%,10.50%
Erie County,Ohio,Male,"36,681","2,550","2,573","1,163","2,177","2,456","2,325","1,731","1,506","2,241","1,654","2,859","2,194","3,344","2,439","2,150","1,457",998,864,"3,736","1,179","7,465","3,454","12,436","30,006","29,216","27,643","11,252","10,240","7,908","3,319"
Erie County,Ohio,Percent Male,(X),7.00%,7.00%,3.20%,5.90%,6.70%,6.30%,4.70%,4.10%,6.10%,4.50%,7.80%,6.00%,9.10%,6.60%,5.90%,4.00%,2.70%,2.40%,10.20%,3.20%,20.40%,9.40%,33.90%,81.80%,79.60%,75.40%,30.70%,27.90%,21.60%,9.00%
Erie County,Ohio,Female,"37,820","1,764","1,871","1,853","1,916","2,526","1,609","2,298","1,973","2,163","2,002","2,597","1,858","3,583","2,957","2,343","1,855","1,443","1,209","3,724",982,"6,470","3,460","12,485","31,743","31,350","30,323","13,390","11,513","9,807","4,507"
Erie County,Ohio,Percent Female,(X),4.70%,4.90%,4.90%,5.10%,6.70%,4.30%,6.10%,5.20%,5.70%,5.30%,6.90%,4.90%,9.50%,7.80%,6.20%,4.90%,3.80%,3.20%,9.80%,2.60%,17.10%,9.10%,33.00%,83.90%,82.90%,80.20%,35.40%,30.40%,25.90%,11.90%
Fairfield County,Ohio,Total,"162,898","9,296","11,719","10,663","10,048","10,018","9,668","9,853","10,960","10,891","10,181","11,566","10,982","9,614","8,869","7,031","4,600","3,141","3,798","22,382","6,777","38,455","13,289","61,438","129,225","124,443","118,445","37,053","32,863","27,439","11,539"
Fairfield County,Ohio,Percent,(X),5.70%,7.20%,6.50%,6.20%,6.10%,5.90%,6.00%,6.70%,6.70%,6.20%,7.10%,6.70%,5.90%,5.40%,4.30%,2.80%,1.90%,2.30%,13.70%,4.20%,23.60%,8.20%,37.70%,79.30%,76.40%,72.70%,22.70%,20.20%,16.80%,7.10%
Fairfield County,Ohio,Male,"81,597","4,874","6,177","4,869","5,778","5,400","5,144","4,980","5,452","5,253","5,228","5,840","5,766","4,660","4,353","3,002","2,141","1,706",974,"11,046","3,861","19,781","7,317","32,007","64,826","61,816","58,098","16,836","15,198","12,176","4,821"
Fairfield County,Ohio,Percent Male,(X),6.00%,7.60%,6.00%,7.10%,6.60%,6.30%,6.10%,6.70%,6.40%,6.40%,7.20%,7.10%,5.70%,5.30%,3.70%,2.60%,2.10%,1.20%,13.50%,4.70%,24.20%,9.00%,39.20%,79.40%,75.80%,71.20%,20.60%,18.60%,14.90%,5.90%
Fairfield County,Ohio,Female,"81,301","4,422","5,542","5,794","4,270","4,618","4,524","4,873","5,508","5,638","4,953","5,726","5,216","4,954","4,516","4,029","2,459","1,435","2,824","11,336","2,916","18,674","5,972","29,431","64,399","62,627","60,347","20,217","17,665","15,263","6,718"
Fairfield County,Ohio,Percent Female,(X),5.40%,6.80%,7.10%,5.30%,5.70%,5.60%,6.00%,6.80%,6.90%,6.10%,7.00%,6.40%,6.10%,5.60%,5.00%,3.00%,1.80%,3.50%,13.90%,3.60%,23.00%,7.30%,36.20%,79.20%,77.00%,74.20%,24.90%,21.70%,18.80%,8.30%
Franklin County,Ohio,Total,"1,321,820","85,417","83,923","84,835","86,198","91,901","112,600","117,744","95,858","92,756","74,861","77,037","71,847","72,024","56,263","51,696","31,494","18,335","17,031","168,758","48,740","302,915","129,359","597,057","1,053,758","1,018,905","961,948","246,843","216,798","174,819","66,860"
Franklin County,Ohio,Percent,(X),6.50%,6.30%,6.40%,6.50%,7.00%,8.50%,8.90%,7.30%,7.00%,5.70%,5.80%,5.40%,5.40%,4.30%,3.90%,2.40%,1.40%,1.30%,12.80%,3.70%,22.90%,9.80%,45.20%,79.70%,77.10%,72.80%,18.70%,16.40%,13.20%,5.10%
Franklin County,Ohio,Male,"650,654","43,602","40,435","45,550","43,537","45,500","56,212","59,099","49,481","45,826","37,262","38,628","34,460","35,472","26,291","23,166","12,820","7,627","5,686","85,985","24,674","154,261","64,363","299,655","514,637","496,393","467,768","111,062","96,752","75,590","26,133"
Franklin County,Ohio,Percent Male,(X),6.70%,6.20%,7.00%,6.70%,7.00%,8.60%,9.10%,7.60%,7.00%,5.70%,5.90%,5.30%,5.50%,4.00%,3.60%,2.00%,1.20%,0.90%,13.20%,3.80%,23.70%,9.90%,46.10%,79.10%,76.30%,71.90%,17.10%,14.90%,11.60%,4.00%
Franklin County,Ohio,Female,"671,166","41,815","43,488","39,285","42,661","46,401","56,388","58,645","46,377","46,930","37,599","38,409","37,387","36,552","29,972","28,530","18,674","10,708","11,345","82,773","24,066","148,654","64,996","297,402","539,121","522,512","494,180","135,781","120,046","99,229","40,727"
Franklin County,Ohio,Percent Female,(X),6.20%,6.50%,5.90%,6.40%,6.90%,8.40%,8.70%,6.90%,7.00%,5.60%,5.70%,5.60%,5.40%,4.50%,4.30%,2.80%,1.60%,1.70%,12.30%,3.60%,22.10%,9.70%,44.30%,80.30%,77.90%,73.60%,20.20%,17.90%,14.80%,6.10%
Geauga County,Ohio,Total,"95,469","4,917","5,530","6,478","6,298","5,449","4,378","4,612","4,644","5,795","5,322","6,176","6,742","7,633","6,370","5,960","3,522","3,124","2,519","12,008","4,279","21,204","7,468","31,176","76,741","74,265","70,984","29,128","25,931","21,495","9,165"
Geauga County,Ohio,Percent,(X),5.20%,5.80%,6.80%,6.60%,5.70%,4.60%,4.80%,4.90%,6.10%,5.60%,6.50%,7.10%,8.00%,6.70%,6.20%,3.70%,3.30%,2.60%,12.60%,4.50%,22.20%,7.80%,32.70%,80.40%,77.80%,74.40%,30.50%,27.20%,22.50%,9.60%
Geauga County,Ohio,Male,"48,072","2,615","2,480","3,683","3,203","2,905","2,250","2,375","2,277","3,094","2,726","3,136","3,470","3,660","2,486","3,740","1,632","1,423",917,"6,163","2,106","10,884","4,002","16,104","38,602","37,188","35,364","13,858","12,314","10,198","3,972"
Geauga County,Ohio,Percent Male,(X),5.40%,5.20%,7.70%,6.70%,6.00%,4.70%,4.90%,4.70%,6.40%,5.70%,6.50%,7.20%,7.60%,5.20%,7.80%,3.40%,3.00%,1.90%,12.80%,4.40%,22.60%,8.30%,33.50%,80.30%,77.40%,73.60%,28.80%,25.60%,21.20%,8.30%
